url_list,movie_names
/movie/bi/mi/basic.nhn?code=88226,미운 오리 새끼
/movie/bi/mi/basic.nhn?code=25641,버팔로 66
/movie/bi/mi/basic.nhn?code=72058,블랙 스완
/movie/bi/mi/basic.nhn?code=164684,"부르고뉴, 와인에서 찾은 인생"
/movie/bi/mi/basic.nhn?code=33513,고
/movie/bi/mi/basic.nhn?code=34225,워크 투 리멤버
/movie/bi/mi/basic.nhn?code=49302,귀향
/movie/bi/mi/basic.nhn?code=171533,콜레트
/movie/bi/mi/basic.nhn?code=39369,오페라의 유령
/movie/bi/mi/basic.nhn?code=17458,센스 앤 센서빌리티
/movie/bi/mi/basic.nhn?code=11290,그랑블루
/movie/bi/mi/basic.nhn?code=124225,마미
/movie/bi/mi/basic.nhn?code=87663,진짜로 일어날지도 몰라 기적
/movie/bi/mi/basic.nhn?code=39818,내 생애 가장 아름다운 일주일
/movie/bi/mi/basic.nhn?code=31565,브리짓 존스의 일기
/movie/bi/mi/basic.nhn?code=43516,브로크백 마운틴
/movie/bi/mi/basic.nhn?code=141824,국가대표2
/movie/bi/mi/basic.nhn?code=158628,몬태나
/movie/bi/mi/basic.nhn?code=31867,디 아워스
/movie/bi/mi/basic.nhn?code=65677,소녀X소녀
/movie/bi/mi/basic.nhn?code=13314,피아노
/movie/bi/mi/basic.nhn?code=151747,쿠르스크
/movie/bi/mi/basic.nhn?code=102216,행복한 사전
/movie/bi/mi/basic.nhn?code=45253,스텝 업 2 - 더 스트리트
/movie/bi/mi/basic.nhn?code=106540,남자가 사랑할 때
/movie/bi/mi/basic.nhn?code=52425,줄리 &amp; 줄리아
/movie/bi/mi/basic.nhn?code=86818,버니드롭
/movie/bi/mi/basic.nhn?code=61865,포 미니츠
/movie/bi/mi/basic.nhn?code=11722,동사서독
/movie/bi/mi/basic.nhn?code=78240,그을린 사랑
/movie/bi/mi/basic.nhn?code=65290,도쿄 타워
/movie/bi/mi/basic.nhn?code=69270,"지금, 이대로가 좋아요"
/movie/bi/mi/basic.nhn?code=100924,페이스 오브 러브
/movie/bi/mi/basic.nhn?code=182360,항거:유관순 이야기
/movie/bi/mi/basic.nhn?code=35388,그녀에게
/movie/bi/mi/basic.nhn?code=118922,카트
/movie/bi/mi/basic.nhn?code=167638,완벽한 타인
/movie/bi/mi/basic.nhn?code=128265,약장수
/movie/bi/mi/basic.nhn?code=85606,자전거 탄 소년
/movie/bi/mi/basic.nhn?code=18003,잉글리쉬 페이션트
/movie/bi/mi/basic.nhn?code=27255,철도원
/movie/bi/mi/basic.nhn?code=25578,인정사정 볼 것 없다
/movie/bi/mi/basic.nhn?code=39377,노스 컨츄리
/movie/bi/mi/basic.nhn?code=38551,모터싸이클 다이어리
/movie/bi/mi/basic.nhn?code=111527,런치박스
/movie/bi/mi/basic.nhn?code=146548,태풍이 지나가고
/movie/bi/mi/basic.nhn?code=66795,잠수종과 나비
/movie/bi/mi/basic.nhn?code=164719,플로리다 프로젝트
