url_list,movie_names,kr_movie_names,director_list,main_actor_list,ntz_score_list,ntz_count_list,running_time_list
/movie/bi/mi/basic.nhn?code=10021,록키,록키,존 G. 아빌드센,실베스터 스탤론,9.3,1237,120
/movie/bi/mi/basic.nhn?code=10005,스타 워즈 에피소드 4 - 새로운 희망,스타워즈 에피소드 4 - 새로운 희망,조지 루카스,"마크 해밀, 해리슨 포드, 캐리 피셔",8.99,988,121
/movie/bi/mi/basic.nhn?code=28677,그린 마일,그린 마일,프랭크 다라본트,"톰 행크스, 데이빗 모스, 보니 헌트",9.19,1962,188
/movie/bi/mi/basic.nhn?code=32112,몬스터 주식회사,몬스터 주식회사 3D,"피트 닥터, 데이빗 실버맨, 리 언크리치","존 굿맨, 빌리 크리스탈, 메리 깁스",9.29,1760,92
/movie/bi/mi/basic.nhn?code=10034,인디아나 존스,인디아나 존스,스티븐 스필버그,"해리슨 포드, 케이트 캡쇼",9.05,602,118
/movie/bi/mi/basic.nhn?code=51143,과속스캔들,과속스캔들,강형철,"차태현, 박보영, 왕석현",9.19,31511,108
/movie/bi/mi/basic.nhn?code=17942,제리 맥과이어,제리 맥과이어,카메론 크로우,톰 크루즈,9.17,1577,138
/movie/bi/mi/basic.nhn?code=17440,쥬만지,쥬만지,조 존스톤,"로빈 윌리엄스, 커스틴 던스트, 데이빗 알란 그리어",9.21,1541,104
/movie/bi/mi/basic.nhn?code=10046,빠삐용,빠삐용,프랭클린 J. 샤프너,"스티브 맥퀸, 더스틴 호프만",9.17,877,150
/movie/bi/mi/basic.nhn?code=10007,스타 워즈 에피소드 6 - 제다이의 귀환,스타워즈 에피소드 6 - 제다이의 귀환,리차드 마퀀드,"마크 해밀, 해리슨 포드, 캐리 피셔",8.97,749,133
/movie/bi/mi/basic.nhn?code=38091,나비 효과,나비 효과,"에릭 브레스, J. 마키에 그러버","애쉬튼 커쳐, 에이미 스마트, 에릭 스톨츠",9.21,7345,113
/movie/bi/mi/basic.nhn?code=58088,라디오 스타,라디오 스타,이준익,"박중훈, 안성기",9.2,10740,115
/movie/bi/mi/basic.nhn?code=36992,아이덴티티,아이덴티티,제임스 맨골드,"존 쿠삭, 레이 리오타, 아만다 피트",9.07,6091,90
/movie/bi/mi/basic.nhn?code=10688,뻐꾸기 둥지 위로 날아간 새,뻐꾸기 둥지 위로 날아간 새,밀로스 포먼,잭 니콜슨,9.2,824,129
/movie/bi/mi/basic.nhn?code=39857,코치 카터,코치 카터,토머스 카터,사무엘 L. 잭슨,9.17,1425,136
/movie/bi/mi/basic.nhn?code=10101,로마의 휴일,로마의 휴일,윌리엄 와일러,"그레고리 펙, 오드리 헵번",9.24,910,118
