순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,장르,등급,영화구분,screens,total_viewer,directors,main_actor_list,ntz_score_list,ntz_count_list,running_time_list
526,뽀로로 극장판 슈퍼썰매 대모험,박영균,"(주)오콘,중국오락문화투자유한회사",,씨제이이앤엠(주),2013-01-23,개봉영화,장편,한국,애니메이션,전체관람가,일반영화,459,929985,박영균,"이선, 이미자, 김환진",8.6,653,77
527,애나벨,존 R. 레오네티,,워너브러더스 코리아(주),워너브러더스 코리아(주),2014-10-02,개봉영화,장편,미국,공포(호러),15세이상관람가,일반영화,464,925813,존 R. 레오네티,"애나벨 월리스, 워드 호튼, 알프리 우다드",6.85,4034,99
529,매그니피센트 7,안톤 후쿠아,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-09-14,개봉영화,장편,미국,액션,15세이상관람가,일반영화,579,921317,안톤 후쿠아,"덴젤 워싱턴, 크리스 프랫, 이병헌",7.92,5185,133
530,갓 오브 이집트,알렉스 프로야스,,(주)나이너스엔터테인먼트,"(주)시네마서비스,(주)나이너스엔터테인먼트",2016-03-03,개봉영화,장편,미국,어드벤처,12세이상관람가,일반영화,618,918678,알렉스 프로야스,"제라드 버틀러, 니콜라이 코스터 왈도, 브렌튼 스웨이츠",7.37,4413,126
531,주먹왕 랄프,리치 무어,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2012-12-19,개봉영화,장편,미국,애니메이션,전체관람가,일반영화,361,918183,리치 무어,"존 C. 라일리, 사라 실버맨, 잭 맥브레이어",9.34,3140,108
532,투어리스트,플로리안 헨켈 폰 도너스마르크,지케이필름,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2010-12-09,개봉영화,장편,미국,드라마,15세이상관람가,일반영화,439,915359,플로리안 헨켈 폰 도너스마르크,"안젤리나 졸리, 조니 뎁",6.09,2002,100
535,점쟁이들,신정원,"(주)사람엔터테인먼트,(주)다세포클럽",,(주)넥스트엔터테인먼트월드(NEW),2012-10-03,개봉영화,장편,한국,코미디,15세이상관람가,일반영화,479,900054,신정원,"김수로, 강예원, 이제훈",5.82,4163,119
536,인랑,김지운,(주)루이스 픽쳐스,,워너브러더스 코리아(주),2018-07-25,개봉영화,장편,한국,SF,15세이상관람가,일반영화,1085,897548,김지운,"강동원, 한효주, 정우성",3.86,15423,138
537,타이탄의 분노,조나단 리브스만,,워너브러더스 코리아(주),워너브러더스 코리아(주),2012-03-29,개봉영화,장편,미국,액션,12세이상관람가,일반영화,535,893027,조나단 리브스만,"샘 워싱턴, 리암 니슨, 레이프 파인즈",6.85,2568,99
538,그것,안드레스 무시에티,,워너브러더스 코리아(주),워너브러더스 코리아(주),2017-09-06,개봉영화,장편,미국,공포(호러),15세이상관람가,일반영화,837,888386,안드레스 무시에티,"빌 스카스가드, 제이든 리버허",6.91,6064,135
539,몬스터 호텔,젠디 타타코브스키,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-01-17,개봉영화,장편,미국,애니메이션,전체관람가,일반영화,489,884885,젠디 타타코브스키,"아담 샌들러, 스티브 부세미, 프란 드레셔",8.22,1157,91
540,메가마인드,톰 맥그라스,,씨제이엔터테인먼트,씨제이엔터테인먼트,2011-01-13,개봉영화,장편,미국,애니메이션,전체관람가,일반영화,414,875481,톰 맥그라스,"윌 페렐, 브래드 피트, 조나 힐",8.77,2735,95
